代码,总分,名称
002919,77.60024487297214,名臣健康
600769,74.61355984083255,祥龙电业
603926,73.25757575757576,铁流股份
603880,71.48377716559536,南卫股份
603115,71.48377716559534,海星股份
002208,71.35139271502908,合肥城建
600791,71.23431282522192,京能置业
600396,70.80272421181512,华电辽能
002963,70.47903275176003,豪尔赛
603125,69.89669421487604,常青科技
603155,69.65182124273034,新亚强
001266,69.6112641567187,宏英智能
603638,69.10085705540251,艾迪精密
605168,69.05876951331499,三人行
001226,69.02203856749311,拓山重工
603730,68.83073155800429,岱美股份
603203,68.78022650749924,快克智能
002297,68.4863789409244,博云新材
600714,68.45806550352006,金瑞矿业
605358,68.15503520048975,立昂微
002484,68.10759106213652,江海股份
603790,68.03719008264463,雅运股份
001211,68.0341291704928,双枪科技
001339,67.91245791245791,智微智能
002577,67.39975512702784,雷柏科技
001378,67.34389348025712,德冠新材
002795,67.32399755127028,永和智控
000811,66.99035812672176,冰轮环境
002975,66.87786960514234,博杰股份
002979,66.74395469850016,雷赛智能
002886,66.67661463116009,沃特股份
603116,66.51056014692378,红蜻蜓
002445,66.42026323844506,中南文化
603660,66.34450566268748,苏州科达
002380,66.2909397000306,科远智慧
002768,66.18686868686869,国恩股份
600353,66.1608509335782,旭光电子
000029,66.13406795224978,深深房Ａ
002757,66.11493725130089,南兴股份
002181,66.09925007652281,粤 传 媒
002787,66.0307621671258,华源控股
603895,65.88154269972452,天永智能
002134,65.72543617998164,天津普林
603520,65.67263544536272,司太立
001332,65.54025099479645,锡装股份
603078,65.51308539944903,江化微
601991,65.50045913682277,大唐发电
601126,65.46870217324762,四方股份
600246,65.41704928068563,万通发展
603283,65.24028160391796,赛腾股份
000338,65.15151515151516,潍柴动力
603356,65.13161922252831,华菱精工
002600,65.07958371594736,领益智造
003030,65.05586164677074,祖名股份
600962,64.98928680746862,国投中鲁
603601,64.96479951025407,再升科技
600400,64.81711049892868,红豆股份
002741,64.78267523722069,光华科技
600206,64.49418426691153,有研新材
002348,64.46663605754514,高乐股份
603085,64.46434037343127,天成自控
603931,64.46357514539332,格林达
600105,64.44597490052035,永鼎股份
002938,64.229415365779,鹏鼎控股
603120,64.21104989286808,肯特催化
603031,64.17584940312213,安孚科技
002281,64.06948270584634,光迅科技
002443,63.979951025405576,金洲管道
603928,63.9126109580655,兴业股份
605186,63.804713804713806,健麾信息
002301,63.69375573921028,齐心集团
605133,63.633302724211816,嵘泰股份
002838,63.61111111111111,道恩股份
002785,63.54530149984696,万里石
603916,63.53994490358126,苏博特
000813,63.50627486991123,德展健康
002885,63.45423936333028,京泉华
000333,63.260636669727575,美的集团
605177,63.25910621365167,东亚药业
001212,63.21242730333639,中旗新材
603688,63.17569635751453,石英股份
603217,63.04713804713805,元利科技
603297,63.03565962656871,永新光学
600027,62.97367615549434,华电国际
603915,62.94230180593817,国茂股份
603978,62.92929292929293,深圳新星
600961,62.91398836853382,株冶集团
601728,62.88108356290175,中国电信
001210,62.859657177839004,金房能源
603068,62.82751760024487,博通集成
002428,62.816039179675535,云南锗业
605069,62.62932353841445,正和生态
603226,62.55892255892256,菲林格尔
603800,62.558922558922546,洪田股份
603186,62.52678298132844,XD华正新
605011,62.52142638506275,杭州热电
001268,62.49770431588613,联合精密
603722,62.48546066727884,阿科力
600727,62.4793388429752,鲁北化工
600552,62.40587695133149,凯盛科技
